Date,Author,Content,URL,Rating,Language
2023-04-18,RohanDook,One of the Best blind tasting menus I’ve ever had the pleasure to experience. A true Michelin experience. A very welcoming staff. The food was exceptional. Original menu. Service was out of this world. Friendly and very knowledgeable when it came to explaining each dish as well as each glass of wine paired with that particular dish. Location is breathtaking with stunning views for the summer on the terrace. Highly recommended for anyone visiting the area in and and around Lake Annecy. This restaurant and experience is second to none in the region.,https://www.tripadvisor.com/ShowUserReviews-g3528948-d17727911-r886721966-L_auberge_De_Montmin-Montmin_Haute_Savoie_Auvergne_Rhone_Alpes.html,5,en
2020-07-13,PaulineB07,"We absolutely loved our visit! The food was incredibly tasty, delicate and beautifully executed. The concept of farm to table was greatly appreciated and there was innovative use of simple ingredients together to create an explosion of flavours. We loved it!!  We had dined the previous night at a two Michelin starred restaurant and found Auberge de Montmin to actually be much nicer. If you’re looking for stuffy, stuck up and incredibly attentive to service, this might not be for you. HOWEVER, if you’re going for a more casual, homely and ultimately splendid flavours I cannot recommend this enough. The two ladies who took care of us were incredibly pleasant and friendly and the food just speaks for itself. The one thing I would advise the owners to do would be to build a proper website with an online booking system too.  Thank you for a wonderful experience and I look forward to coming back in the future!",https://www.tripadvisor.com/ShowUserReviews-g3528948-d17727911-r759918740-L_auberge_De_Montmin-Montmin_Haute_Savoie_Auvergne_Rhone_Alpes.html,5,en
2020-03-19,Amy S,"This restaurant is worth the drive. Food is prepared and presented with casual elegance. Everything is local, farm to table, highest quality. The restaurant itself is modest, but the surroundings are true alpine glory and the meals coming out of this small, unassuming venue are unforgettable. Not to be missed!",https://www.tripadvisor.com/ShowUserReviews-g3528948-d17727911-r751388806-L_auberge_De_Montmin-Montmin_Haute_Savoie_Auvergne_Rhone_Alpes.html,5,en
2019-09-21,Kim P,"A group of 5 dined together for lunch at this very special and recently opened family-owned restaurant. Three of us were brought by local friends who did not look at the menu before making our reservation. We have some food allergies and aversions which have resulted in a narrow choice of food options. When we arrived we found a charming patio with spectacular views.  We were seated by Sandrine (who I believe is the wife of the chef).  We were given a prix fixe menu with roughly 8 family-style courses for 38 euros per person. There was not a single item on the menu that our daughter could eat, and for me, I could eat a few things and for my husband the same.  We were also not very hungry ( I had planned to order just a small salad).  So here we were, for the next 2 + hours with a beautiful view and really not able to eat the food the sweet waitress was bringing.  I totally understand and respect what the restaurant is wanting to do and think that they are very talented and serve fresh and innovative dishes.  I just wish we would have known and would have saved this gem for another time. When the bill came, the sly friends left it for us to pay.  We essentially wasted 120 euros plus some very exquisite food, plus I felt terrible for Sandrine having to bring the wasted food back to the kitchen.  I am writing this as an apology to them and advise to those with a limited diet.",https://www.tripadvisor.com/ShowUserReviews-g3528948-d17727911-r711669657-L_auberge_De_Montmin-Montmin_Haute_Savoie_Auvergne_Rhone_Alpes.html,5,en
2024-09-24,MP-IK31,"A unique experience that already begins with the discovery of a unique site after the ascent of the Col de Forclaz...then the welcome and installation by the Mistress of the House on a sunny terrace, in the middle of the... But the pinnacle of the experience is of course on the plate: very high-quality, tasty dishes, intense juices, a cuisine both chiselled and generous based on local and seasonal products, All in a smiling, cheerful and very professional service atmosphere that perfectly accompanies the achievements of a Grand Chef just as discreet as he is great  A big Bravo, a big Thank you",https://www.tripadvisor.com/ShowUserReviews-g3528948-d17727911-r971168172-L_auberge_De_Montmin-Montmin_Haute_Savoie_Auvergne_Rhone_Alpes.html,5,en
2024-09-23,carole B,"Non-stop wonder whether in terms of taste or visual/creativity of the dishes offered! The service is very professional, sober without marketing overflow.",https://www.tripadvisor.com/ShowUserReviews-g3528948-d17727911-r970968532-L_auberge_De_Montmin-Montmin_Haute_Savoie_Auvergne_Rhone_Alpes.html,5,en
2024-09-21,Régis B,"The Col de la Forclaz crossed... we reach this discreet Hostel with hushed steps. The welcome is warm, cozy.... The premises are very cozy , all in subtlety with splendid views of the surrounding mountains. Your bag, ma'am, will be welcome in a little attention of boiled wool by the fire. The shared cocktail enchants us with subtle fragrances from the nearby nature. Then, it is a succession of delicate dishes that only a forthcoming visit will allow you to share the feeling.... Throughout this journey, which combines taste discoveries and eye pleasures, everything is perfect, divine: Efficient and harmonious service. The sweet descriptions that invite our taste buds to begin this tender gourmet journey. Bread produced by the chef ..... Real killing. The advice of Camille who shares her passion for the good bottles of our wine regions. A special mention for tomato pie which is a real work of art in terms of presentation.  Count 360 euros per person for this unique menu, with cocktail, and a Menetou Salon. These beautiful moments made us forget that we had to leave this prestigious Hostel because we felt at our best. But to come back to it better....you have to decide to leave... Congratulations ,Sandrine and Florian for this intense work that filled us. See you very soon....",https://www.tripadvisor.com/ShowUserReviews-g3528948-d17727911-r970741617-L_auberge_De_Montmin-Montmin_Haute_Savoie_Auvergne_Rhone_Alpes.html,5,en
2024-09-08,sophie-tote,"Once again the pleasure is there. Pleasure of the eyes and taste buds. Although we don't know our menu in advance, we trust the chef to sublimate the right local products. With our eyes closed, we let ourselves be guided by the sommelier who advises us perfectly. The whole team is taking care. Sure, we'll be back!",https://www.tripadvisor.com/ShowUserReviews-g3528948-d17727911-r968858151-L_auberge_De_Montmin-Montmin_Haute_Savoie_Auvergne_Rhone_Alpes.html,5,en
2024-09-05,LILI,"What we see from the appetizers is that Chef Florian Favario has a sense of detail! The dishes are presented on walnut containers designed by the chef himself (incredible?). The room is intimate, our favorite style, but unfortunately a little noisy.  On the dishes there are many flowers, plants, fruits, all worked with noble products. Tomato pie could be a birthday cake, of such beauty!  The negatives: if the third star is envisaged, you will have to review the toilet... There is no special attention for an event to celebrate and the menu is not printed (for those who like to keep it as a souvenir it will be sent to you by email). The Chef is present in the room throughout the meal, but does not come to see his guests at the end. For those who love gastronomy this moment of rewarding exchange is not negligible!  The two desserts we had were almost identical in terms of taste, presentation and even texture: there is one too many that should be replaced by cuteness (which we do not have with hot drinks).  I conclude with a very positive Rating: the team! All employees are amazingly kind, welcoming and kind! They work with a smile and make this moment even more enjoyable! Congratulations to Sandrine, the Chef’s wife, who manages her team perfectly! A faultless service, bravo!",https://www.tripadvisor.com/ShowUserReviews-g3528948-d17727911-r968498275-L_auberge_De_Montmin-Montmin_Haute_Savoie_Auvergne_Rhone_Alpes.html,4,en
2024-08-16,Nicole R,A wonderful journey of taste. An explosion of colors and flavors. A very good time. Florian Favario is a true artist surrounded by a beautiful team.,https://www.tripadvisor.com/ShowUserReviews-g3528948-d17727911-r965152397-L_auberge_De_Montmin-Montmin_Haute_Savoie_Auvergne_Rhone_Alpes.html,5,en
